adult,child
Is that the  the big bottle or the small one?,bottle
To defend our home.,home
"You seem a little under... well, under the bed.",bed
Now I need me a kiss.,kiss
don't wanna play ball today ?,ball
well until mommy comes down and !,mommy
big bird's .,big
the little cow jumps over the moon laughing as she leaps .,cow
"Hey, look, car keys.",car
Because we trust you and because we need your help,help
It's today's Guardian.,today
we'll do his pants ?,pants
"Wait, what's going on?",wait
ordinary radio for talks between ships of the same flight.,radio
We some help over here!,help
- Help me.,help
this car ?,car
after the cat runs after the ball .,cat
look lily and mommy can both have magic wands .,mommy
It's like a bear hibernating.,bear
what comes after apple ?,apple
what what is the cat doing over there ?,cat
- Hi.,hi
i'll put your juice here .,juice
This night never ends.,night
oh yes i think then it will be your bath time .,bath
do you want some apple .,apple
you mean you put a little truck inside the big truck .,truck
"I, mind you I  today.",today
you have to go to the bath room .,bath
- That's enough for today.,today
this dog has an ear .,dog
Sun's trying to come out.,sun
I'm Kitty Pimms.,kitty
you want an apple okay ?,apple
where's mommy ?,mommy
say good-night.,night
Make sure she gets home OK.,home
what do you tell the baby ?,baby
You could hurt somebody!,hurt
what would you like to name the cat ?,cat
It's on his coat now.,coat
"Wait, what?",wait
full in the eyes.,eyes
Let me show you with your coat here.,coat
"Thus, with a kiss, I die.",kiss
It won't hurt.,hurt
How do you want to pay for that today?,today
150 please.,please
I'm going to bed.,bed
Go with me girl.,girl
is that bread good ?,bread
this is a lion .,lion
can you tell mommy ?,mommy
do you have a boat at in longport ?,boat
There's a clever girl.,girl
is that for daddy .,daddy
I have a Swiss phone number.,phone
Bring back milk!,milk
"Mommy, mommy... mommy!",mommy
There's a   there's all that fish,fish
I hope not in those pants.,pants
it's an apple ?,apple
does mommy love blankie .,mommy
book !,book
push over ?,push
the flower .,flower
- Cat?,cat
Is there a kitchen?,kitchen
look at the ball .,ball
I can't put pants on.,pants
That's a good girl.,girl
that no decent dog would bark at.”,dog
follow the bouncing ball .,ball
you sing .,sing
Put him on the bed.,bed
it's too late to read those today .,today
"His hair needs cutting though, look at it.",hair
where's the spoon ?,spoon
that's what's in that book ?,book
Disinfecting and deodorizing cat’s quarters with any preparation,cat
Oh wait !,wait
"The other night, what ?",night
the ball is stuck .,ball
You can't fly fish here!,fish
where's the little bear ?,bear
and daddy's making breakfast too .,daddy
"Yes, because inside-out is wiggity, wiggity wack.",out
there is the bath .,bath
shall i help you ?,help
"Very well, we'll wait until you change it.",wait
Take your spoon out of this,spoon
yes would you like an apple william ?,apple
the big bird .,bird
"- Hi, Hyo-jin.",hi
table in the air.],table
great grandma's name .,grandma
the light of the moon differs from that of the sun.--A strange,light
Well yeah that's eye contact,eye
On his car?,car
- Hi.,hi
mommy's just gonna get her coffee .,mommy
- Until your head is right.,head
see what's in this box .,box
A cat?,cat
Thank you chair.,chair
would you like some help getting up ?,help
"It's your first kiss, right?",kiss
toe ?,toe
okay let me get the bread .,bread
do you think a baby would know how to say yes ?,baby
- Hi.,hi
that's a car .,car
"And then, through the dark, a flush",dark
when i wear my striped hat ?,hat
Well I can't help it.,help
let's mail them to grandma ?,grandma
in the hand of the sleeper.,hand
shall we name the cat .,cat
the tiny baby .,baby
"- Wait, wait.",wait
you gonna push a light .,light
"Baby, in this life, I am the tiger.",baby
i gonna wash you with a cup .,cup
You want to take a break?,break
now what happens w with the baby .,baby
nose .,nose
I ain't gonna bite the hand that feeds me.,hand
Big Sally.,big
you must be in the car .,car
poor baby .,baby
where's the duck's eye ?,duck
do you want some juice .,juice
Bye bye mummy and daddy.,daddy
and that's a baby opossum ?,baby
ball !,ball
I need more milk.,milk
Are you taking your car?,car
oh look at this baby playing with the kittie .,baby
pick up your apple ?,apple
"I'm pushing, girl.",girl
"Oh wait, maybe I won't be free.",wait
Keep your head up.,head
Good night.,night
TURN ME IN.,me
is that a car .,car
what's in this box ?,box
i need a spoon too to eat my oatmeal .,spoon
meow .,meow
How soon can you finish?,finish
where's the bed room at ?,bed
Then she turns the TV on,tv
You like the baby?,baby
-...the poor box?,box
And that's my favourite hair on Liam.,hair
is that a car !,car
yeah that's a very big boat .,boat
that's a girl .,girl
Are you looking for more milk?,milk
- I'm a girl.,girl
Get it out of my head!,head
I'm not staying here all night.,night
not on the new table .,table
it's on your head .,head
Shot in the foot.,foot
that's the sun ?,sun
The book.,book
book it's a mouse .,book
I'm glad you use your head.,head
- Hi.,hi
Can I help you find anything?,help
you'll hurt him .,hurt
when i wear my striped hat ?,hat
there's a bear in the house mommy .,bear
Let's open that other bottle.,bottle
play with the ball .,ball
you play with your ball .,ball
"No, she's a heartless, soulless cow.",cow
car ?,car
- DON'T WORRY.,don't
Today's her birthday.,today
I don't have any milk or cattle.,milk
where's his eyes ?,eyes
go get a book .,book
Help me!,help
um you want me to clean your hand ?,hand
here's a banana laura .,banana
where does daddy work ?,daddy
"Phone taps, surveillance, everything.",phone
ah don't push it .,push
"- Hi, baby!",hi
hair brush ?,hair
bang the book goes boom .,book
meow .,meow
Help me!,help
you can put them on your hand .,hand
- Please don't hurt me.,hurt
and what's the car doing ?,car
"Candy's the mom, Cookie's the daughter.",candy
i'm gonna sit over here today .,today
And your nose.,nose
I'll help you.,help
don't hurt me i might cry .,hurt
push .,push
big sun ?,sun
okay i'm gonna lay your baby right here ?,baby
who takes daddy to the train in the morning ?,daddy
"Wait till you get it and then, uh...",wait
"- It's okay, baby, Mama's here.",baby
I'm here to discuss the Box Tunnel 20.,box
an apple .,apple
do you ever dress up like that little girl ?,girl
LET'S CHECK OUT ADAM.,out
It won't help.,help
maybe you could mail that to daddy .,daddy
park the car in the garage .,car
Anyone want some help?,help
Rickhasenlistedthe help of professional diver,help
i'll have some more milk .,milk
no that's another truck .,truck
i will read my own book .,book
what is today the twenty first ?,today
what do you have in your hand sweetie ?,hand
and would the baby hurt his fingers .,baby
Wait here.,wait
This is a very special box.,box
The big toast.,toast
- Hi.,hi
Will you eat only the leg piece?,leg
no this it's bigger than a cup .,cup
You're actually being courteous today?,today
what's the cow say ?,cow
See that rock directly ahead of you?,rock
- Can you help me?,help
It would be nice to have a break from doing it.,break
"- Everything's everything, baby.",baby
i see some more frozen banana .,banana
yeah and that's the bed .,bed
♪ But fish in the bowl is lucky,fish
- put on some pants.,pants
In the magical light;,light
say pick me up daddy .,daddy
hair brush ?,hair
do you think you could could you get me that box ?,box
we'll talk radio later okay !,radio
Which car?,car
oh and a big bed .,bed
- I want home.,home
♪ Kiss the girl,girl
There's a phone kiosk over there.,phone
Sing it!,sing
"Oh, wait, they're dead.",wait
I won't hurt you,hurt
juice box juice box juice box juice box .,juice
"Star Command, come in.",star
Where can I phone from?,phone
cookie monster's in his banana .,cookie
on mommy yeah .,mommy
Call for extra help.,help
Help me!,help
careful of the box ?,box
Look at my eyes and say that?,eyes
oh you're the mommy okay .,mommy
you want your bottle ?,bottle
- Can I help you?,help
apple .,apple
He won't let the little girl die.,girl
- Out to the party.,out
[Radio beeps],radio
- WHAT ARE YOU DOING HOME?,home
and a bear and a bear .,bear
- Hi.,hi
I'll kick him out soon.,kick
cookie and ice cream .,cookie
"Well, he's in bed.",bed
you put your hand in there .,hand
where's mommy's car ?,mommy
- Stay away from that dog!,dog
that doesn't look like a duck .,duck
here i'll take the apple ?,apple
don't jump on daddy .,daddy
My head is about to crack up!,head
push !,push
You must to  cat.,cat
Give me your keys.,keys
"Night, an invisible dome of cloud,",night
What do you mean your bed ?,bed
mommy's a horrible drawer .,mommy
who is this girl ?,girl
Shall I turn the light off so you can see?,light
hey daddy would you like me to give you some raisins ?,daddy
He needs help.,help
[baby crying],baby
- Big Mouth.,big
"Hey, I'm going to bed.",bed
Finish it.,finish
Long brown hair.,hair
I'm going to release this ball now.,ball
Help her before it's too late!,help
So this girl...,girl
You're going in the car.,car
you play on the baby's .,baby
blow you don't put it in your mouth .,mouth
no no not today .,today
throw the ball to mama !,ball
good girl .,girl
okay come here little dog .,dog
cereal and strawberries .,cereal
♪ I'm tired and I want to go to bed,bed
that book!,book
or would you like me to start buying bread ?,bread
"Doll, letter, boom.",doll
oh little baby's sound asleep .,baby
that's the sun .,sun
where is the car going ?,car
wait this foot stays up here .,foot
bear is a good sport ?,bear
Your fish will die of fear first.,fish
to fix his eyes on.”,eyes
Wait 'til you see Grandma Kuchenski's dress.,grandma
Go on please?,please
"If you are not alert, will bite your ear",ear
Please help me.,help
- How's Juliette?,how
we drive him on the table ?,table
Kick it down!,kick
okay let us get one let us have a bath .,bath
you sing ?,sing
Dog food?,dog
Off with it please.,please
a big black bear .,bear
there's a baby sister .,baby
you can build with the block !,block
I cannot bear when something is going wrong.,bear
baby with a bahbah ?,baby
would you help mommy .,mommy
daddy does ?,daddy
Their car procession will become a funeral procession,car
Get in the car!,car
do you need help ?,help
[Car Starts],car
a baby .,baby
Not while he's home.,home
are you eating the table ?,table
"""Don't talk about the baby.""",baby
Get your ball!,ball
thank you bird .,bird
and the box too ?,box
But I can't see leg...,leg
You can thank me by keeping your head down...,head
hoho you keep bashing these with your head .,head
There is bread to make you strong,bread
the sun is in your eye yeah .,sun
Holy cow!,cow
- Hi!,hi
Here's a blanket.,blanket
- Why don't you check the phone book?,phone
where's mommy christopher ?,mommy
-We're having a baby.,baby
You're on my boat.,boat
Anybody want a milk shake?,milk
"says he , tapping on the bread and cheese .",bread
I'm gonna put 'em in your hair pie.,hair
"HI, THIS IS, UH, BOB FISHER CALLING BACK.",hi
mommy here's the mean things .,mommy
Pretty much controls everything in the car these days.,car
Now just could you sing it first.,sing
You're not gonna make me go to bed?,bed
Get out the car!,car
And say hi to Daddy.,daddy
that's a bus yeah ?,bus
bear repeating: I love you.,bear
look who makes the bread ?,bread
you want a new toast ?,toast
boat .,boat
Is there a book?,book
i'm not daddy .,daddy
we'll have milk for lunch ?,milk
You can work on me all night long.,night
where's the duck ?,duck
comb your hair .,hair
"them, her head high.",head
- Mommy!,mommy
"And wait, you-you forgive me?",wait
"Not me, not this girl.",girl
I could work on your boat.,boat
what else happens on the bus ?,bus
Are you here to hurt me?,hurt
Give me your hand.,hand
"Wait, I'll go and ask him.",wait
Get help.,help
that is a nice clock abe .,clock
Please help me keep him off.,help
are you a big or a little dog .,dog
"Wait, you know?",wait
"Wait, wait, wait, look.",wait
Where are my keys?,keys
Your smile looks like Jonah's.,smile
Don't hurt her.,hurt
look at the bear ?,bear
"My girl, Mariana, she's six.",girl
Smile at them,smile
mommy ?,mommy
"No, the baby's out.",baby
you're gonna do it on the phone okay ?,phone
and the mommy's saying .,mommy
Talk to me at home.,home
I might as well go to bed.,bed
good night sweetie .,night
that's the nice doll .,doll
They'll be here all night at this rate.,night
banana only if you sit in your chair .,banana
here you sit on the chair .,chair
or today well tell us .,today
Please wait.,wait
Bring the flower.,flower
push it .,push
Why waste the night talking about other women?,night
"- Give me my TV back, buddy.",tv
- I love the hat!,hat
Or I'll jump!,jump
I'm getting ready for bed.,bed
"Today, even though I am away from him..",today
is that a clock ?,clock
that's coat or a jacket .,coat
"Today, Doc, is as good a day as any.",today
and there's even an apple .,apple
apple juice right .,apple
- You want to save your home?,home
Do you think we could turn the TV off?,tv
you know what daddy's making ?,daddy
good girl !,girl
Welcome to the table.,table
- My hair!,hair
whose mommy are you ?,mommy
"Jump in here, please.",jump
They can pilot the bloody boat.,boat
I'm going to bed.,bed
a blue car .,car
your cup of milk ?,cup
"- Good night, Mr. President.",night
That would hurt.,hurt
i'll push it .,push
ball .,ball
what do you say to mommy ?,mommy
what color it that block ?,block
I need help!,help
who is a bad girl ?,girl
(PHONE RINGING),phone
sits up straight in his chair .,chair
mommy ?,mommy
can i see a fish face .,fish
do you want to read your book some more ?,book
why don't you go say hello to your daddy .,daddy
You need professional help!,help
But they are not just here for a bath.,bath
daddy's at co op now ?,daddy
"Where are you at, baby?",baby
It's still on the table.,table
Keep your head down.,head
you push it okay .,push
BOOK SIX,book
and mommy too .,mommy
looking for more hair elastics in my dirty cloths .,hair
Your eye just looks like a ping-pong ball.,eye
"uh, driving me home?",home
"Grandma, it's a very good idea!",grandma
you'll have to go in and go to bed .,bed
her eyes.,eyes
the hat on mommy .,hat
"I could ""borrow"" the keys.",keys
"No, wait, wait, wait.",wait
- My poor girl.,girl
throw the ball to mama ?,ball
Especially today.,today
no you should go to bed .,bed
turning the light off .,light
I'm afraid to put one in the kitchen,kitchen
Home Minister Pradhan.,home
"- but we can talk about that, but not today.",today
"You idiot, you'd use your mouth.",mouth
see the nose ?,nose
no you can't mix the milk and juice .,milk
where's mommy ?,mommy
There 's nothing heroic about me today .,today
"Can I have a cup of tea, please.",cup
- Bread?,bread
duck ?,duck
well daddy makes mistakes sometimes too ?,daddy
baby yes ?,baby
here's your milk .,milk
It looks like a book,book
daddy might even go take a nap ?,daddy
What I want to do today.,today
you have your juice already .,juice
today then  mm,today
are you making one for daddy abe .,daddy
In her ear her adorable name.,ear
you want to go night night .,night
"Take my hand, zeke!",hand
yes let's tell daddy .,daddy
- hi.,hi
yeah well we'll play with the ball first okay .,ball
we're going to have to buy a table huh .,table
oh we have to get a yucky nose ?,nose
You're just planning to buy a book.,book
You have cat f food in tins!,cat
"""Sleepless on a sleepy night.""",night
Just put your nose in that bedroom there.,nose
are you gonna carry that book for me .,book
Shall we head inside?,head
I need your help.,help
-The sun will get a little bit lower.,sun
now can you teach mommy how to do it ?,mommy
but if you want milk ?,milk
[rock music plays],rock
- I love that bed.,bed
oh this is a kitchen .,kitchen
"Um, they don't really say in the book.",book
Now how do I go with this broken hand?,hand
"Will somebody give them a hand over there, please?",hand
there's the bed .,bed
you wanna eat toast ?,toast
wants to go to bed .,bed
meow .,meow
"We're going upstairs, to bed.",bed
Perhaps you can help me out.,help
oh that's a happy bear .,bear
Answerthe phone.,phone
And how may I help you?,help
He could help.,help
"RIGHT HAND, NEAR THE ARMPIT AND RIGHT PEC.",hand
"Wait, I'll come with you.",wait
poor baby .,baby
does a bird fly ?,bird
Is my shoe here?,shoe
Good night.,night
- Not with my squad car.,car
I can help.,help
And how does that help?,help
your eye .,eye
throw the ball !,ball
a baby chicken says peep peep .,baby
"Need a little help there, huh?",help
I keep her under the white rock .,rock
This girl..,girl
uh push hard .,push
that's a block ?,block
You mean on Tv?,tv
which ball .,ball
do you sleep on the bus ?,bus
It's a beautiful moonlit night.,night
Take this bloody car up!,car
bear .,bear
"- On the other hand, I do wonder...",hand
dry your hair a little bit ?,hair
should we do where's mommy ?,mommy
here's a cookie .,cookie
and the coat too .,coat
"- Listen, I know this is a long night.",night
"Sorry, Daddy.",daddy
that's like a ball yeah .,ball
My eyes!,eyes
"Come, my leg piece",leg
- When you going to send us some help?,help
should i help you .,help
you could wear that today .,today
"Wait, i-is she signaling us?",wait
no these go on your head see ?,head
push it no pick it up .,push
- And she'd never hurt you.,hurt
- Good night.,night
would you like some milk ?,milk
here's your baby .,baby
that's for our toast .,toast
"Good night, my dear.",night
"No, no, sing it!",sing
where mommy ?,mommy
To help them sleep.,help
would you like to read that book ?,book
can you dial the phone ?,phone
It's good for the baby.,baby
Today we're gonna Clean up the river gold.,today
how do you smile ?,smile
This will help you.,help
here you tell mommy what you want .,mommy
But he'll take a bath on those leases.,bath
yeah it's a hand .,hand
"yeah,at home  shoes off.",home
You show just enough leg so I'd stop.,leg
i think they're trying to catch the cat .,cat
we'll have to sit down some night .,night
Mommy's coming.,mommy
Juice will do?,juice
[baby coos] skoal.,baby
tell mommy how to do it ?,mommy
♪ A head light is hitting me in the eyes ♪,head
I need a phone.,phone
now it says the duck the bed .,duck
"- Exotic flower, active factory...",flower
a duck .,duck
duck .,duck
"What, you couldn't spring for a bigger bottle?",bottle
meow !,meow
A girl?,girl
i think we call her girl ?,girl
"- Hi, Simon.",hi
but we don't have any milk ?,milk
so it doesn't break ?,break
and you're reading the book .,book
oh that's a lonely bear ?,bear
"Well, that about knocks it on the head for QI.",head
"Come in, Star Command.",star
-Only for one night.,night
"More than the lion, I'll say.",lion
you have a hat on .,hat
- How can I help?,help
- What is that girl's profession?,girl
- Wait.,wait
say hi light .,light
where do you put the keys ?,keys
but what else would you like to buy besides bread !,bread
that's a little girl .,girl
"I'll always love your daddy, honey.",daddy
"The Black girl, ""Spit something.""",girl
That hurt.,hurt
don't put that in my mouth .,mouth
Early bird and all that.,bird
when daddy's on vacation ?,daddy
shall we take the car too .,car
How could she fly off the bed like that?,bed
"- Wait, sir.",wait
you have to roll the ball to knock them down .,ball
I would never hurt him.,hurt
there is your ball ?,ball
book !,book
"-Wait in the car, Cicc'.",car
another book .,book
what's bear doing ?,bear
oh my gosh that's one silly looking shoe .,shoe
grandma have a piece .,grandma
Would that help?,help
are those the doll's underpants .,doll
eyes ?,eyes
It's good to see the sun again.,sun
What are you doing today?,today
that's a lion .,lion
- And Grandma and Grandpa?,grandma
Allow me to escort you home.,home
where's a fish ?,fish
-And Fish.,fish
Just one kiss?,kiss
"Wait, wait, wait, wait.",wait
"I'm sorry, Mommy.",mommy
where's the baby bunny ?,baby
or your bear ?,bear
that's the dog and the birds .,dog
"We love you, Mommy.",mommy
"Go to bed, honey.",bed
a boing um they're on our bed jim .,bed
can you finish that so you don't mix it up ?,finish
"- Yeah, one on each leg.",leg
Shut up your mouth,mouth
the sun bleaches them .,sun
duck .,duck
"Oh, keys.",keys
see the sleepy bear ?,bear
(Rock music),rock
six foot three pixie !,foot
meow meow meow meow .,meow
- How's the patient?,how
- Good night.,night
Do I have something on my tooth?,tooth
Thank you for coming here today.,today
Yes and fish.,fish
the poor car ?,car
- Daddy.,daddy
a cow .,cow
- A new shoe cubby for the mosque.,shoe
Help yourself!,help
My leg-splint girl's screaming.,leg
She can't hurt you with that.,hurt
should we call grandma .,grandma
"""'Cause I ain't trying to get leg burn.",leg
I'm going to keep you in the dark for now.,dark
"They don't smile, they don't talk to anybody.",smile
You must see through her eyes.,eyes
can mommy talk on the phone .,mommy
Look at my eyes and say that,eyes
Your leg.,leg
yeah are you gonna keep it on today ?,today
(baby crying over monitor),baby
"Or a light, or whatever.",light
"speaking through your mouth!""",mouth
is she in your pants .,pants
look at that baby .,baby
Hurt me.,hurt
Put your hand in!,hand
than the kiss of air and sunshine.,kiss
the ball's on this page ?,ball
my mouth is open .,mouth
let daddy go over here and take a picture .,daddy
and fork and a spoon .,spoon
"- Oh, you wish, baby.",baby
the nose .,nose
push him down .,push
"Just give me the keys, I'll follow.",keys
spoon ?,spoon
how about milk ?,milk
"Step, kick.",kick
I need your car.,car
"Why, then, I'll take the dog.",dog
push .,push
what's the baby's name ?,baby
This car?,car
I'll just turn the bed down.,bed
Like someone not pickin' up after walking' their dog?,dog
there's your baby bunny ?,baby
coat ?,coat
do you wanna look at your truck book ?,truck
Give them all the help they need.,help
don't stand up on the chair honey .,chair
Why don't you grab yourself a chair?,chair
you look sleepy today ?,today
the ball d alright .,ball
I know this girl.,girl
let me hold that spoon a minute !,spoon
The baby's okay.,baby
does a dog go like that .,dog
and bird game .,bird
I got to get home.,home
"You and Daddy never think I do, but I do.",daddy
dog .,dog
- Good night.,night
Do you want your coat on?,coat
With the car,car
Like a bird in the sky,bird
He looks like a dog.,dog
And it's our lucky car.,car
more banana mhm .,banana
How about a kiss?,kiss
How's your leg?,leg
that's a star .,star
daddy's going to ride in the car ?,daddy
How you doing today?,today
Now I see with my own eyes,eyes
- Hi.,hi
Enjoying your night out?,night
[Indistinct radio chatter],radio
Bus companies,bus
shut your eyes and say one two three .,eyes
"I'll always love your daddy, honey.",daddy
her eyes go up and down .,eyes
I'm gonna turn your head into a flour sifter.,head
"- Come on, open your eyes!",eyes
And the girl?,girl
oh they must be furious with that cat huh ?,cat
♪ They can't black out the moon ♪,moon
What a rude girl?,girl
Look for a new home for her now that's the trouble,home
"But I, you're shaking your head obviously.",head
That hurt.,hurt
Help me.,help
I can't help you.,help
he thinks daddy has the best car in the world .,daddy
I cannot break up with him again.,break
Come on square eyes!,eyes
Ca you take your coat off?,coat
And let out over the fish!,fish
- You live at home at your age?,home
are you getting very sticky with that candy honey ?,candy
and he's gonna run the baby over ?,baby
And you are a star.,star
"Wait, why not just play rock paper scissors?",rock
the duck .,duck
cookie monster game .,cookie
ah a ball !,ball
tooth paste .,tooth
"Show me with your eyes, Felix.",eyes
Please help me.,help
Pick up the phone!,phone
it'll break .,break
- I could sure use some help too.,help
"- Hi, Jessie.",hi
Sing it!,sing
I couldn't help thinking... this isn't real.,help
- Ouch!,ouch
oh is she going to dance today .,today
Wait up!,wait
gonna get some candy ?,candy
"Oh, wait.",wait
ready for the car ?,car
why don't you make her go to bed .,bed
Big Mouth...,big
more apple ?,apple
"GO WITH ME AT HOME, FOLLOW THE KIDS.",me
let's try the book first .,book
"You know, his eyes.",eyes
here's a cup for you .,cup
see grandma needs a little cream in hers .,grandma
the ball ?,ball
and daddy will get you a piece of doughnut .,daddy
no he don't spill his milk huh .,milk
throw the ball to mommy .,ball
Wait for it.,wait
you take the chair back ?,chair
Daddy is a policeman.,daddy
That girl is my Facebook friend.,girl
"Now, that's a good chair.",chair
you think they're drinking juice for lunch .,juice
Why do you want your hair washing?,hair
that's a little mouse .,mouse
Do some push-ups.,push
Then I can help you.,help
"Queenstown harbour floating light, 297",light
Are you writing a book?,book
oh here's a toast for laura .,toast
Good night.,night
this is a baby calf .,baby
those are for your hair maybe you could wear one ?,hair
he is he is coming home today .,today
Make yourself at home.,home
"Do you want some help with it, not really.",help
Good night.,night
Wait I can...,wait
Nearly all those will be home fans.,home
